Name,Gender,SSN,Member Date,Phone,State,Zip,Email,Credit Card,Credit Card_Number,Credit Card Exp,Gender,Favorite Radio Station,Purchases Past 30 Days,Spent Past 30 Days,Purchases Past 6 Months,Spent Past 6 Months,Purchases Past 12 Months,Spent Past 12 Months
Isabel Moss,female,938-14-6343,19/4/2005,(552) 760-2529,P.A.,59200,i.mossoss@megit.net,Mastercard,5191xxxxxxxx0934,05/22,female,WTOL,1,$227.36,2,$1712.4899999999998,8,$7110.789999999999
Mr. Duane Joseph,male,705-45-0980,Thu Jun 30 2005 16:47:12 GMT-0400 (Eastern Daylight Time),(600) 215-9267,District of Columbia,24250,d.josephoseph@ergisik.de,American Express,3497xxxxxxx8728,09/25,male,KQIW,0,$0,2,$1078.9299999999998,9,$6142.5199999999995
Mister Calvin Hammond,male,907-50-1099,Tue Mar 16 2010 21:08:28 GMT-0400 (Eastern Daylight Time),8358795447,NH,01263-8904,c.hammondammond@joc.edu,American Express,3466xxxxxxx7723,12/19,male,WDVP,4,$1880.92,9,$5306.7,11,$10427.410000000002
Hunter Simpson,male,843-71-3681,Thu Dec 06 2007 12:15:13 GMT-0500 (Eastern Standard Time),(768) 319-4758,North Dakota,81154,h.simpsonimpson@roij.info,Diners Club United States & Canada,5435xxxxxxxx8430,09/23,male,KLXT,4,$1724.71,6,$4820.630000000001,9,$9768.02
Doctor Josephine Estrada,female,941-93-9304,Tue Dec 02 2014 23:20:17 GMT-0500 (Eastern Standard Time),3382644609,M.D.,67019-1776,j.Estrada@no.org,American Express,3486xxxxxxx0637,04/22,female,WSZA,2,$1149.1100000000001,7,$5110.81,8,$8501.130000000001
Russell George,male,150-90-1114,Mon Dec 05 2016 15:26:24 GMT-0500 (Eastern Standard Time),(874) 546-3897,Missouri,77026,r.George@karrufo.net,Mastercard,5170xxxxxxxx1035,09/23,male,KQAS,5,$3287.91,9,$8268.85,15,$15311.560000000003
Douglas Briggs,male,512-43-4034,Sun May 04 2008 19:06:53 GMT-0400 (Eastern Daylight Time),5236647749,WI,98714,d.briggsriggs@fori.net,Visa,4660xxxxxxxx9912,07/24,male,WNRV,4,$2483.29,5,$5011.009999999999,8,$8617.949999999999
Leroy Franklin,male,009-78-5868,Thu Jun 07 2012 00:38:21 GMT-0400 (Eastern Daylight Time),8326487724,Delaware,16036,l.Franklin@mofwu.edu,Discover Card,6011xxxxxxxx3045,10/17,male,WQOJ,5,$2034.95,7,$4624.12,10,$8691.35
Olive Snyder,female,635-78-9890,31/8/2010,4033095987,Illinois,48286,o.snydernyder@rajhu.com,Visa,4862xxxxxxxx8669,02/27,female,WXGX,4,$2987.3999999999996,6,$5989.419999999999,9,$8782.17
Mister Albert Baldwin,male,055-44-8770,Thu Jan 17 2013 10:52:29 GMT-0500 (Eastern Standard Time),(365) 691-1259,Maryland,06598-7254,a.baldwinaldwin@tumfori.gov,American Express,3462xxxxxxx4137,09/18,male,WDQE,3,$2232.4500000000003,4,$5503.58,7,$8321.279999999999
Pauline Mendoza,female,016-39-8506,4/30/2013,5458914932,Tennessee,82803-6614,p.mendozaendoza@emu.org,Discover Card,6011xxxxxxxx6348,06/18,female,WMKR,5,$1779,7,$5076.4,12,$11548.18
Addie Reese,female,527-10-0435,3/6/2009,3578237777,ID,82170-8168,a.reeseeese@silgaf.edu,Visa,4811xxxxxxxx2140,04/27,female,KKRC,1,$878.97,5,$2824.69,6,$5311.07
Lucille Henderson,female,508-31-4402,1/15/2013,(909) 703-8186,South Carolina,65414,l.hendersonenderson@jugo.ca,Mastercard,5163xxxxxxxx6603,09/25,female,WCYI,1,$957.59,2,$1722.31,4,$3795.47
Jonathan Holland,male,316-27-9038,Fri May 12 2017 05:09:24 GMT-0400 (Eastern Daylight Time),(881) 354-2903,South Dakota,15523-0546,j.hollandolland@efida.gov,Discover Card,6011xxxxxxxx0433,11/21,male,KJRN,5,$3072.1400000000003,10,$8980.45,18,$18862.38
Travis Neal,male,176-75-0186,2/5/2011,9064304367,Ohio,97121-0351,t.nealeal@sepetula.au,Discover Card,6011xxxxxxxx7019,10/24,male,WWHZ,3,$1463.2199999999998,8,$5846.13,11,$11052.66
Doctor Lou Lloyd,female,258-69-5142,16/9/2012,(581) 485-4617,SC,94320,l.lloydloyd@zonabi.edu,American Express,3464xxxxxxx3478,11/24,female,WHGH,0,$0,5,$2427.27,8,$7912.7699999999995
Ophelia Watkins,female,080-91-4960,1/7/2008,3423026222,Virginia,45831,o.watkinsatkins@pumakner.edu,American Express,3461xxxxxxx9175,08/20,female,WPRN,5,$3245.48,9,$7974.67,14,$15538.42
Doctor Adam Wilson,male,690-10-6992,Mon Jul 01 2013 23:46:09 GMT-0400 (Eastern Daylight Time),7874303330,New Hampshire,92416-2927,a.wilsonilson@riwujril.edu,Diners Club United States & Canada,5471xxxxxxxx1067,01/18,male,WXBE,1,$728.84,4,$3036.47,12,$7210.889999999999
Mrs. Dollie Stephens,female,103-80-4282,10/17/2014,(927) 406-2314,K.S.,83987,d.Stephens@hulihik.org,Mastercard,5138xxxxxxxx3624,09/23,female,KLCW,4,$1128.02,7,$3413.34,17,$10001.009999999997
Dr. Emily Gibbs,female,491-19-1415,27/10/2011,(452) 843-7776,Iowa,35311,e.gibbsibbs@ut.org,Discover Card,6011xxxxxxxx1253,04/26,female,KUDL,5,$2109.9199999999996,10,$7632.419999999998,14,$14409.3
Dr. Todd Kennedy,male,842-59-5387,21/10/2006,(754) 269-1618,Florida,74548-9061,t.kennedyennedy@dil.net,Mastercard,5107xxxxxxxx7097,09/22,male,WPWM,0,$0,2,$1159.58,7,$4029.7999999999997
Doctor Alta Duncan,female,889-82-3061,4/3/2017,(840) 752-8469,VA,64888,a.duncanuncan@weaso.nz,Discover Card,6011xxxxxxxx4883,11/20,female,WHJG,4,$1595.22,6,$3607.1500000000005,9,$8603.08
Jerry Stephens,male,394-32-6528,Thu Apr 30 2015 18:15:59 GMT-0400 (Eastern Daylight Time),7195728489,Ohio,18990-0250,j.stephenstephens@kuawi.edu,Discover Card,6011xxxxxxxx2276,12/20,male,WVFO,5,$662.13,6,$2776.9100000000003,10,$7945.829999999999
Mrs. Annie Dennis,female,666-51-7597,Sat Mar 23 2013 18:11:26 GMT-0400 (Eastern Daylight Time),4317913134,Arkansas,93413-7189,a.dennisennis@atopubnu.com,Visa,4296xxxxxxxx9151,02/26,female,KIZC,1,$276.95,4,$1683.67,8,$6683.05
Cynthia Conner,female,569-06-3329,5/21/2011,5386365883,A.Z.,50196-9947,c.conneronner@tolec.ca,Mastercard,5164xxxxxxxx3460,07/25,female,KPZK,1,$102.28,6,$2834.76,12,$8961.12
Max Swanson,male,021-75-0713,Mon Jan 23 2012 23:03:28 GMT-0500 (Eastern Standard Time),4113577519,North Carolina,56829,m.swansonwanson@nifwakuv.edu,Mastercard,5110xxxxxxxx5329,03/22,male,WYGW,2,$1649.5,7,$4853.920000000001,13,$12605.510000000002
Doctor Lawrence Bell,male,628-28-7595,4/2/2017,(949) 934-4993,D.E.,05544,l.bellell@senaruku.edu,Discover Card,6011xxxxxxxx9802,08/24,male,WMZA,2,$499.74,5,$2947.4900000000002,6,$6498.58
Linnie Holmes,female,271-13-6830,23/5/2012,(306) 772-6850,New Mexico,41612-7345,l.holmesolmes@gofile.nz,Diners Club United States & Canada,5463xxxxxxxx2991,06/20,female,KNDW,2,$759.1899999999999,5,$2562.2,6,$6109.599999999999
Gabriel Clayton,male,656-08-3903,25/11/2011,7855597896,New York,89498,g.claytonlayton@ohef.edu,Discover Card,6011xxxxxxxx3869,07/17,male,WVUU,4,$1709.56,6,$4274.61,14,$11797.939999999999
Doctor Jacob Benson,male,679-22-1262,8/22/2005,2342602869,FL,85818-3537,j.Benson@cis.co,Diners Club United States & Canada,5411xxxxxxxx2085,09/18,male,WZOF,5,$3187.5899999999997,7,$8486.169999999998,10,$12151.529999999999
Stanley Barber,male,771-03-6447,Sat Jul 11 2009 02:27:11 GMT-0400 (Eastern Daylight Time),(528) 405-1143,I.L.,64899,s.Barber@uz.gov,Visa,4065xxxxxxxx8791,10/27,male,WMWC,3,$2015.66,8,$5136.620000000001,12,$10971.020000000002
Misses Lula Watkins,female,709-92-3415,3/28/2013,(242) 271-9290,C.T.,85734-1936,l.watkinsatkins@we.com,Discover Card,6011xxxxxxxx9222,04/22,female,WJJH,4,$2171.85,7,$5098.500000000001,12,$10949.68
Norman Payne,male,088-13-9642,9/12/2012,5712085338,Arizona,62349-0475,n.payneayne@zakke.de,Discover Card,6011xxxxxxxx2721,06/17,male,KOLM,5,$1776.1100000000001,10,$6650,11,$12193.710000000001
Hettie Arnold,female,848-95-0170,8/8/2006,2726058349,OK,31766-8912,h.arnoldrnold@ce.com,Mastercard,5179xxxxxxxx6108,10/25,female,KINM,4,$1273.19,7,$5586.86,14,$13192.72
Elijah West,male,095-67-5906,Fri Mar 02 2007 01:44:11 GMT-0500 (Eastern Standard Time),5112897209,Arizona,93848,e.westest@mocinwad.net,Diners Club United States & Canada,5429xxxxxxxx6335,03/27,male,KSPA,1,$874.47,2,$1278.0800000000002,10,$6636.080000000002
Dr. Sara Christensen,female,264-50-8022,18/4/2012,2175556179,IA,58370-2855,s.christensenhristensen@ekhumku.gov,Mastercard,5138xxxxxxxx3411,09/18,female,KXHQ,0,$0,2,$1142.45,6,$4533.7
Doctor David Lowe,male,957-50-8662,19/4/2007,(525) 978-1557,Louisiana,89725,d.Lowe@aciarigep.info,Visa,4741xxxxxxxx0327,07/19,male,KMGU,0,$0,3,$2195.73,13,$8904.089999999998
Cynthia Carroll,female,733-04-8648,Tue Feb 20 2007 11:32:01 GMT-0500 (Eastern Standard Time),6243665544,South Dakota,32752-4908,c.carrollarroll@erafena.org,American Express,3466xxxxxxx5196,03/20,female,KXAO,1,$447.21,3,$1548.9299999999998,5,$5220.6900000000005
Madge Hayes,female,431-67-1136,9/1/2010,4817471025,CT,14273-7897,m.hayesayes@ejetubu.net,American Express,3487xxxxxxx3733,07/25,female,WLRE,4,$2412.98,7,$4775.6900000000005,15,$13216.240000000002
Dr. Trevor Wong,male,223-58-4228,13/2/2006,6006905864,Maryland,39691,t.Wong@zew.org,Visa,4168xxxxxxxx5582,03/23,male,WKWO,3,$558.61,6,$3522.94,15,$10322.250000000002
Carl Dean,male,556-52-5062,5/24/2005,3399659971,WA,48249-0271,c.deanean@uwi.ca,Visa,4281xxxxxxxx0333,03/20,male,KXBJ,3,$1748.6399999999999,6,$3490.2600000000007,14,$8308.2
Georgia Boyd,female,334-14-2732,Sat Jan 18 2014 16:23:50 GMT-0500 (Eastern Standard Time),(387) 540-8311,Iowa,70275-2400,g.boydoyd@zitimnif.net,Discover Card,6011xxxxxxxx0258,07/22,female,KNBL,2,$796.27,3,$1691.28,12,$7437.709999999999
Miss Leila McCarthy,female,455-41-0944,10/11/2013,(833) 894-4959,N.V.,46972,l.mccarthycCarthy@mun.info,Visa,4804xxxxxxxx3238,10/20,female,KXXM,2,$1191,7,$3352.17,14,$11713.33
David Newman,male,945-96-4822,Sat Feb 24 2007 21:04:51 GMT-0500 (Eastern Standard Time),(830) 535-9004,Alabama,92741-6132,d.newmanewman@wo.co,Discover Card,6011xxxxxxxx5420,02/25,male,WVQY,3,$2422.39,8,$5733.24,18,$14113.579999999998
Maud Flores,female,797-68-2459,Tue Oct 09 2012 22:28:14 GMT-0400 (Eastern Daylight Time),(925) 483-8072,Arkansas,30831,m.floreslores@zeji.edu,Diners Club United States & Canada,5474xxxxxxxx0561,04/17,female,KJYN,3,$1414.51,8,$4993.5,12,$9911.45
Nettie Brock,female,763-11-3471,Mon Dec 07 2009 00:55:01 GMT-0500 (Eastern Standard Time),6264041975,M.T.,51502,n.brockrock@zemlil.gov,Mastercard,5121xxxxxxxx8494,05/27,female,KHOU,0,$0,3,$1046.08,5,$2677.9900000000002
Austin Cannon,male,516-19-6286,Sun Jan 30 2005 22:12:22 GMT-0500 (Eastern Standard Time),(518) 326-4148,CA,02512-0432,a.Cannon@aliuzwuj.gov,Visa,4319xxxxxxxx5359,08/21,male,KWJH,3,$1129.3700000000001,8,$5240.67,9,$10111.900000000001
Jane Luna,female,836-94-3872,2/25/2015,(235) 994-1780,NY,99594,j.lunauna@sih.net,Discover Card,6011xxxxxxxx5430,12/27,female,WEUS,1,$596.94,4,$2682.01,5,$4793.23
Mr. Oscar Knight,male,474-22-9825,9/23/2006,4853917349,M.S.,93597-5991,o.knightnight@imo.net,Mastercard,5114xxxxxxxx6606,12/22,male,WRIN,5,$3031.91,9,$6452.09,11,$10280.800000000001
Roxie Keller,female,272-42-4033,12/5/2007,9663575719,Montana,26988-7554,r.kellereller@jowet.org,American Express,3472xxxxxxx7536,07/20,female,KCCG,2,$856.94,3,$1414.97,7,$4702.890000000001
Lelia Hampton,female,347-33-0016,Tue Feb 09 2010 21:37:02 GMT-0500 (Eastern Standard Time),3575041157,W.Y.,70043,l.hamptonampton@maohaho.gov,American Express,3439xxxxxxx5126,06/24,female,KBOZ,2,$916.28,3,$1777.9,11,$8713.27
Doctor Christopher Maxwell,male,381-50-4953,Sat Oct 01 2011 01:42:04 GMT-0400 (Eastern Daylight Time),2037299900,V.T.,50294-2196,c.Maxwell@du.com,Visa,4643xxxxxxxx5344,09/22,male,WCBX,4,$1896.6600000000003,5,$4025.6600000000003,6,$7179.38
Doctor Kate Reyes,female,563-16-3727,1/8/2012,(352) 337-1535,Hawaii,03322-6509,k.reyeseyes@su.edu,Diners Club United States & Canada,5490xxxxxxxx1981,04/19,female,KAVR,3,$1541.97,4,$3368.8399999999997,12,$7723.52
Brandon Mathis,male,320-02-9873,Sun Nov 11 2007 18:18:42 GMT-0500 (Eastern Standard Time),(314) 340-3396,Louisiana,62661-6635,b.Mathis@ozoce.edu,Visa,4071xxxxxxxx5432,09/17,male,KYSI,3,$1497.1,5,$3881.82,13,$12837.329999999998
Noah Mullins,male,055-15-6469,Tue Feb 07 2012 04:44:03 GMT-0500 (Eastern Standard Time),3297611011,H.I.,93913-5745,n.mullinsullins@peedu.de,Visa,4647xxxxxxxx8593,12/25,male,KHSP,2,$1049.19,5,$3172.15,14,$9530.149999999998
Daniel Moreno,male,782-90-4674,Sat Sep 10 2005 10:15:54 GMT-0400 (Eastern Daylight Time),2025396776,South Carolina,22126-3218,d.Moreno@tamog.org,Mastercard,5174xxxxxxxx2611,06/19,male,WOEL,5,$1380.1599999999999,6,$4965.089999999999,7,$8933.119999999999
Emilie Chandler,female,789-90-7460,Thu Dec 22 2011 02:25:53 GMT-0500 (Eastern Standard Time),9177429873,NV,38540-3480,e.chandlerhandler@kepriwes.com,Mastercard,5124xxxxxxxx8130,06/21,female,KHZO,5,$2132.49,10,$8151.25,13,$15836.100000000002
Dr. Anthony McDonald,male,149-96-0185,14/5/2013,3128257208,V.A.,18207,a.McDonald@wiptim.co,Visa,4858xxxxxxxx8201,05/17,male,WWSJ,5,$3218.94,9,$9046.610000000002,12,$14876.900000000005
Miss Birdie Weaver,female,686-71-9337,8/2/2017,2136429627,Idaho,07987,b.Weaver@ro.gov,Discover Card,6011xxxxxxxx6925,12/25,female,KAFP,5,$3260.54,9,$7548.77,12,$12619.31
Lou Schmidt,female,617-11-3058,Sat Aug 25 2012 00:44:10 GMT-0400 (Eastern Daylight Time),8782434588,RI,48497-6084,l.schmidtchmidt@of.edu,American Express,3472xxxxxxx4842,05/23,female,WRSK,4,$1696.8200000000002,6,$4485.320000000001,7,$7246.350000000001
Mr. Joe McKenzie,male,644-05-5025,Thu Sep 01 2011 09:15:00 GMT-0400 (Eastern Daylight Time),4293469433,Idaho,05796-7603,j.mckenziecKenzie@bafekku.info,American Express,3489xxxxxxx3021,09/20,male,KFHY,5,$2566.84,10,$8130.659999999998,14,$15894.21
Abbie Hart,female,639-18-0505,Wed Dec 17 2014 15:36:18 GMT-0500 (Eastern Standard Time),6793354911,West Virginia,51589-8713,a.hartart@posmus.au,American Express,3470xxxxxxx7454,09/18,female,WDWG,3,$2020.94,7,$3551.61,16,$12780.619999999999
Jackson Greene,male,958-63-6320,26/11/2011,7559593561,M.E.,33772,j.Greene@oritownid.info,American Express,3435xxxxxxx9755,01/17,male,WJHW,4,$1799.06,8,$5898.86,13,$12616.849999999999
Ralph Burgess,male,499-69-6107,1/17/2015,3367614856,I.L.,37319-2941,r.burgessurgess@arogawsos.ca,Discover Card,6011xxxxxxxx7049,08/25,male,WWQB,0,$0,2,$969.8199999999999,12,$8278
Mr. Ernest Frank,male,682-96-6959,Sat Nov 16 2013 17:36:00 GMT-0500 (Eastern Standard Time),5887511698,OK,66825-8250,e.frankrank@ogda.gov,Diners Club United States & Canada,5453xxxxxxxx3930,05/27,male,KUDB,5,$3101.66,7,$6839.259999999998,11,$12846.44
Noah Curry,male,576-20-4352,3/5/2006,(610) 586-9921,CA,24026,n.curryurry@suomle.ca,Visa,4558xxxxxxxx0944,11/23,male,KGGJ,1,$259.46,3,$1950.0099999999998,12,$6841.42
Edward Romero,male,786-65-6208,6/10/2009,7445501065,Maryland,18975-9951,e.romeroomero@tuiz.net,Discover Card,6011xxxxxxxx2050,10/20,male,WARM,0,$0,4,$2407.04,14,$9248.61
Marc Glover,male,145-52-1308,24/7/2007,8505516571,Indiana,94579-6154,m.gloverlover@cucurih.edu,Mastercard,5167xxxxxxxx0359,02/17,male,WCYT,3,$1551.13,5,$3112.69,8,$7458.0599999999995
Doctor Elizabeth Myers,female,756-08-1668,7/16/2013,(953) 254-5641,S.C.,85227-2385,e.myersyers@lufsed.org,Mastercard,5160xxxxxxxx9610,04/18,female,WCFV,2,$1629.79,6,$4827.15,13,$9126.669999999998
Misses Nannie Curtis,female,961-82-4263,Mon Jan 22 2007 14:56:29 GMT-0500 (Eastern Standard Time),7494865829,Ohio,30332,n.curtisurtis@hiz.ca,Discover Card,6011xxxxxxxx7268,11/21,female,WPTK,0,$0,5,$2653.3100000000004,15,$11454.920000000002
Corey Gordon,male,226-12-9285,Fri Jan 12 2007 19:46:13 GMT-0500 (Eastern Standard Time),3105517439,W.V.,77088-9849,c.gordonordon@mazbef.au,Mastercard,5192xxxxxxxx5380,06/18,male,WRDV,5,$3264.3399999999997,6,$5603.95,7,$9495.14
Tyler Hayes,male,703-46-1358,25/2/2015,3227139398,F.L.,49967-0669,t.hayesayes@winanoc.gov,Mastercard,5123xxxxxxxx0374,01/27,male,WHTC,3,$757.74,8,$5279.62,17,$14971.52
Elva Hansen,female,925-32-6787,2/2/2011,9792579497,Kansas,78013-0785,e.hansenansen@godvo.de,American Express,3448xxxxxxx8304,05/23,female,KQAQ,3,$1706.8600000000001,8,$4771.710000000001,11,$10153.440000000004
Mister Leonard Nichols,male,165-37-3330,Fri Jul 18 2014 13:14:16 GMT-0400 (Eastern Daylight Time),(226) 539-9271,South Carolina,45928-3187,l.nicholsichols@he.gov,Diners Club United States & Canada,5445xxxxxxxx6294,02/18,male,WAAN,4,$1936.95,5,$4111.49,15,$12312.960000000003
Shawn Obrien,male,572-89-1808,26/10/2006,(225) 598-8260,Massachusetts,73635,s.obrienbrien@ahelul.org,Diners Club United States & Canada,5420xxxxxxxx1585,04/20,male,WGAM,4,$2302.46,5,$4945.23,9,$9366.839999999998
Dr. Jeffrey Singleton,male,277-55-6186,7/10/2012,5538239803,MD,03949,j.Singleton@vaomepo.org,Visa,4486xxxxxxxx0290,08/23,male,WJCB,3,$1258.79,6,$4636.5,13,$11333.229999999998
Mr. Marc Moore,male,793-00-0871,3/3/2011,7363584921,Pennsylvania,27264,m.Moore@ga.nz,Visa,4969xxxxxxxx0401,07/17,male,WTXI,3,$1513.51,8,$5380.66,11,$10739.67
Rosalie Davis,female,357-32-6582,Tue Nov 05 2013 07:53:26 GMT-0500 (Eastern Standard Time),8842924583,IN,10570,r.davisavis@cawah.gov,Diners Club United States & Canada,5417xxxxxxxx6428,08/26,female,WRJT,2,$689.48,6,$4195.77,7,$8276.51
Estella Turner,female,547-04-6988,Sat Jul 03 2010 11:22:56 GMT-0400 (Eastern Daylight Time),(541) 816-1801,MN,41938,e.Turner@oru.com,Discover Card,6011xxxxxxxx0598,12/26,female,KXRC,4,$2191.5299999999997,5,$4931.75,7,$8756.359999999999
Vernon Morgan,male,721-49-3588,15/4/2006,(881) 288-3628,Missouri,67967-1985,v.morganorgan@azbelot.ca,Mastercard,5133xxxxxxxx5575,10/21,male,KLJM,5,$1484.1399999999999,8,$4786.599999999999,10,$11153.41
Misses Myrtie Rhodes,female,538-30-6619,Sun Oct 23 2011 22:03:29 GMT-0400 (Eastern Daylight Time),6128388390,T.X.,59147-4313,m.rhodeshodes@tawu.org,Visa,4087xxxxxxxx0448,12/24,female,KEXS,0,$0,3,$1511.35,12,$7822.869999999999
Zachary Cook,male,041-17-2339,Tue Jan 03 2017 16:26:56 GMT-0500 (Eastern Standard Time),(849) 514-7288,Arkansas,69758-3749,z.cookook@giw.com,Visa,4213xxxxxxxx7485,03/22,male,KQVI,3,$1191.32,4,$3375.45,7,$6554.549999999999
Juan Wilson,male,388-24-1805,6/24/2013,(945) 822-9135,MA,44964,j.wilsonilson@wevkuma.nz,Diners Club United States & Canada,5423xxxxxxxx6312,11/18,male,WDPL,2,$685,5,$4245.85,15,$12008.939999999997
Doctor Lucille Watson,female,824-08-6582,Fri Jul 27 2007 03:41:48 GMT-0400 (Eastern Daylight Time),(966) 953-2050,Pennsylvania,69847,l.watsonatson@bovewo.gov,Diners Club United States & Canada,5489xxxxxxxx0727,04/19,female,WUDR,2,$1079.5,3,$2266,10,$8255.58
Garrett Hawkins,male,260-92-7744,10/22/2009,6516491268,Hawaii,10787-8816,g.hawkinsawkins@ibuwagdib.org,Mastercard,5184xxxxxxxx1688,02/25,male,KTAU,0,$0,1,$78.98,5,$2341.28
Shane Lamb,male,036-34-3027,23/8/2013,7524558126,Kansas,58672-5207,s.lambamb@ogubaaju.au,American Express,3447xxxxxxx5452,08/21,male,KUIU,2,$1693.22,6,$4933.71,8,$8475.75
Nathan McDonald,male,503-01-8425,25/5/2005,(342) 562-9986,New Mexico,91076-8854,n.McDonald@norwob.de,Visa,4932xxxxxxxx2710,09/17,male,KNHX,1,$952.26,3,$2816.8,10,$7318.670000000001
Misses Lida Lowe,female,250-31-2782,Fri May 31 2013 20:22:30 GMT-0400 (Eastern Daylight Time),6186212201,Kentucky,43927,l.loweowe@bombi.org,Diners Club United States & Canada,5411xxxxxxxx9594,03/27,female,WNTS,1,$627.34,4,$2753.5,9,$7783.26
Miss Madge Goodman,female,281-89-7550,24/3/2010,2633771438,Ohio,66659-3569,m.goodmanoodman@kuesuum.com,American Express,3483xxxxxxx5464,10/24,female,WFIX,5,$2154.8700000000003,7,$4596.120000000001,12,$10740.660000000002
Larry Schwartz,male,782-41-0741,2/7/2005,3099559455,TX,38636,l.schwartzchwartz@lubhusnej.edu,Diners Club United States & Canada,5461xxxxxxxx6751,12/21,male,KPCB,4,$1461.3100000000002,6,$5715.27,12,$12470.810000000003
Doctor Marc Cannon,male,733-01-3044,Mon Oct 01 2007 04:02:37 GMT-0400 (Eastern Daylight Time),2115669295,Arizona,82626,m.cannonannon@zelekfo.gov,Discover Card,6011xxxxxxxx2275,07/19,male,KGKQ,1,$238.12,3,$2205.94,11,$8790.08
Owen Green,male,969-82-8434,Thu Dec 09 2010 03:06:38 GMT-0500 (Eastern Standard Time),(678) 914-5774,Oklahoma,51274-9372,o.greenreen@dumsoj.net,American Express,3419xxxxxxx5366,06/19,male,KRZO,1,$894.61,5,$3455.18,10,$9329.27
Maggie Green,female,495-28-7413,Thu Dec 22 2005 06:41:56 GMT-0500 (Eastern Standard Time),(621) 349-2979,Wisconsin,83549,m.greenreen@sef.com,Diners Club United States & Canada,5421xxxxxxxx4369,11/18,female,WNNU,3,$1127.94,6,$5443.38,9,$8398.490000000002
Chad Estrada,male,385-96-4468,6/23/2016,6552606548,Indiana,57629-0569,c.Estrada@umu.com,Diners Club United States & Canada,5473xxxxxxxx9133,08/22,male,WSOY,4,$1912.56,5,$5074.04,13,$13209.650000000001
Miss Nettie Figueroa,female,573-64-6106,Thu Jun 08 2006 12:28:07 GMT-0400 (Eastern Daylight Time),(727) 662-9785,New York,92979,n.Figueroa@kofaifu.org,Diners Club United States & Canada,5432xxxxxxxx2661,04/25,female,WRZS,1,$435.85,3,$1249.97,9,$6951.09
Jackson Patterson,male,094-61-3438,Wed Apr 13 2011 17:59:50 GMT-0400 (Eastern Daylight Time),6193567041,Massachusetts,89938-2512,j.pattersonatterson@nazeeta.org,Mastercard,5164xxxxxxxx9635,05/23,male,WPDT,0,$0,4,$1660.3,8,$6588.289999999999
Inez Chavez,female,576-54-3642,Sat May 11 2013 08:51:35 GMT-0400 (Eastern Daylight Time),3306784538,MT,33372-5453,i.chavezhavez@weceg.net,Visa,4878xxxxxxxx7585,05/26,female,KHNR,2,$795.45,3,$2912.9,6,$5311.150000000001
Dr. Lucille Craig,female,931-73-8198,Mon Dec 29 2014 02:39:15 GMT-0500 (Eastern Standard Time),4825798962,N.H.,07325-8792,l.craigraig@kud.edu,American Express,3404xxxxxxx5617,06/25,female,WVHB,5,$1254.04,8,$5864.089999999999,12,$10725.509999999998
Miss Christine Ball,female,375-68-4708,Sun Jan 30 2005 16:23:44 GMT-0500 (Eastern Standard Time),4726375105,Pennsylvania,85230-4248,c.ballall@ruah.gov,Diners Club United States & Canada,5480xxxxxxxx0901,07/21,female,WQTE,4,$2380.31,8,$6069.28,13,$14337.639999999998
Doctor Ruby McKenzie,female,226-00-9833,3/19/2006,(756) 603-5084,District of Columbia,23608-2746,r.McKenzie@bam.org,Mastercard,5199xxxxxxxx6161,08/21,female,KLBD,3,$1449.65,7,$4810.2300000000005,10,$10538.210000000001
Harvey Sandoval,male,041-66-7986,Sat Dec 24 2005 14:10:11 GMT-0500 (Eastern Standard Time),8789485010,Ohio,09620-3081,h.sandovalandoval@ojetwo.com,Diners Club United States & Canada,5472xxxxxxxx8066,09/20,male,WYSG,2,$734.47,4,$3341.25,8,$8158.14
Billy Webb,male,324-43-9445,Mon Oct 19 2009 15:41:04 GMT-0400 (Eastern Daylight Time),2072022719,Tennessee,76947,b.webbebb@fim.com,Discover Card,6011xxxxxxxx7372,06/17,male,WGYL,0,$0,3,$827.01,8,$7133.609999999999
Nina Aguilar,female,458-49-4584,11/4/2010,(642) 761-1315,FL,50111,n.aguilarguilar@ufiiz.edu,American Express,3483xxxxxxx9978,05/26,female,WLTM,1,$93.86,4,$2143.38,11,$7700.629999999999
Charles Gordon,male,879-73-3538,6/2/2014,(842) 312-1796,New Mexico,64307-0577,c.gordonordon@jomzi.org,American Express,3460xxxxxxx7420,01/21,male,KHXU,3,$1034.55,4,$3274.91,8,$7628.78
Doctor Eugenia Washington,female,358-07-7947,Mon Sep 14 2009 17:44:50 GMT-0400 (Eastern Daylight Time),5327339290,M.A.,74152,e.washingtonashington@cagpeat.org,Mastercard,5159xxxxxxxx1677,03/19,female,WMYC,4,$2727.1099999999997,8,$5991.58,13,$12947.580000000002
Callie Cortez,female,753-39-3794,8/2/2015,9543621232,Idaho,46241-7256,c.cortezortez@zanda.gov,Discover Card,6011xxxxxxxx7771,06/18,female,KUNJ,4,$2317.64,6,$5637.43,12,$11633.649999999998
Marguerite Summers,female,197-02-4937,Fri Aug 20 2010 10:16:06 GMT-0400 (Eastern Daylight Time),(846) 608-5008,N.J.,58772-2126,m.summersummers@vunuw.com,Diners Club United States & Canada,5466xxxxxxxx4312,03/25,female,WMDE,3,$1497.99,4,$3246.8599999999997,10,$8165.549999999999
